,nb,nb2,value
0,acura,bmw,1.246078465931121999365504600
1,acura,toyota,1.383507167681666703648697286
2,acura,audi,1.704252524458729968194367562
3,acura,cadillac,1.346361690733308883610894724
4,acura,lexus,1.540894710866287395886968055
5,acura,honda,1.673775365128602817629572186
6,acura,pontiac,1.548718393502173425032142201
7,acura,infiniti,1.663150496193484729800550445
8,acura,volvo,1.535291248170708826877134173
9,acura,comfort,1.568868786559206292939362785
10,acura,design,1.435077095691056239842261144
11,acura,performance,1.375129963936080047490452154
12,acura,safety,1.534218689414501744862349748
13,acura,technology,1.566701897459630514452963764
14,bmw,toyota,1.374738479050268134123173361
15,bmw,audi,1.530030002392828875922619595
16,bmw,cadillac,1.502855674461400731118976765
17,bmw,lexus,1.799253198729817230215455270
18,bmw,honda,1.331496786042240587695133150
19,bmw,pontiac,1.396802957807742496737712049
20,bmw,infiniti,1.546311953699954747898158954
21,bmw,volvo,1.362303385763796320981071714
22,bmw,comfort,1.419138989209669199920235748
23,bmw,design,1.270328639767711334442475642
24,bmw,performance,1.393256783441819644554962335
25,bmw,safety,1.369146005509641873278236915
26,bmw,technology,1.434617435350573180485203946
27,toyota,audi,1.552026380425085166087371657
28,toyota,cadillac,1.433665691546025078144229001
29,toyota,lexus,1.730946418231324558219597970
30,toyota,honda,1.733753637245392822502424830
31,toyota,pontiac,1.308546888559906069733013426
32,toyota,infiniti,1.499761010965543651137503948
33,toyota,volvo,1.839742185788930258752855042
34,toyota,comfort,1.691465377584426998957257979
35,toyota,design,1.411798882752511743163248622
36,toyota,performance,1.434512415989287829497952842
37,toyota,safety,1.716901066925315227934044617
38,toyota,technology,1.672057351146710052876943775
39,audi,cadillac,2.044161437542024737910837189
40,audi,lexus,2.007799281395731301097418544
41,audi,honda,1.865256124721603563474387528
42,audi,pontiac,1.475427851365607783378267495
43,audi,infiniti,2.134666854938608370827262633
44,audi,volvo,3.273942093541202672605790646
45,audi,comfort,1.960269171289191948745200834
46,audi,design,1.830764127593962214632261545
47,audi,performance,1.531426769418767368981216863
48,audi,safety,1.746102449888641425389755011
49,audi,technology,1.958204612400316114663409728
50,cadillac,lexus,1.780749005464453435400067537
51,cadillac,honda,1.337345369441658308258107656
52,cadillac,pontiac,1.881829699625191363564377343
53,cadillac,infiniti,1.635887489558011209420769513
54,cadillac,volvo,2.092729802310156275277445239
55,cadillac,comfort,1.594327217577665973792691748
56,cadillac,design,1.681148190890182823429371584
57,cadillac,performance,1.317226014326164333709091877
58,cadillac,safety,1.191825476429287863590772317
59,cadillac,technology,1.644853916588475102727537451
60,lexus,honda,1.720901126408010012515644556
61,lexus,pontiac,1.561408998089717409920295106
62,lexus,infiniti,2.743793574821552877696544312
63,lexus,volvo,2.166215834309015301384795511
64,lexus,comfort,2.112728041419066057773288997
65,lexus,design,1.711324917193955619647308727
66,lexus,performance,1.449821125964978346827339484
67,lexus,safety,1.379849812265331664580725907
68,lexus,technology,1.533166458072590738423028786
69,honda,pontiac,1.304824561403508771929824561
70,honda,infiniti,1.609029779058597502401536984
71,honda,volvo,1.881720430107526881720430108
72,honda,comfort,1.764968722073279714030384272
73,honda,design,1.482087652300418257865066376
74,honda,performance,1.520578732968113499086950414
75,honda,safety,1.708333333333333333333333333
76,honda,technology,1.848118279569892473118279570
77,pontiac,infiniti,2.619824055816775367814348551
78,pontiac,volvo,0.8111205432937181663837011885
79,pontiac,comfort,1.443311697474248624241569070
80,pontiac,design,1.688345249375484537858558015
81,pontiac,performance,1.373428039124359571495109455
82,pontiac,safety,1.273355263157894736842105263
83,pontiac,technology,1.338868845500848896434634975
84,infiniti,volvo,1.879009017384029004369247932
85,infiniti,comfort,1.836113450409870896462207663
86,infiniti,design,1.629350476612724451341166039
87,infiniti,performance,1.446022799724567085766749127
88,infiniti,safety,1.747478386167146974063400576
89,infiniti,technology,1.893243934182392860462954355
90,volvo,comfort,2.330710023350341606849433538
91,volvo,design,1.785016630589725991235943192
92,volvo,performance,1.528689694547530687981729946
93,volvo,safety,2.370967741935483870967741935
94,volvo,technology,1.880202913631633714880332986
95,comfort,design,1.684196054169244517769986939
96,comfort,performance,1.984625969773897364113027593
97,comfort,safety,1.751563896336014298480786416
98,comfort,technology,1.924601458675660872322638300
99,design,performance,1.405887152450888093893177682
100,design,safety,1.610611020185488270594653573
101,design,technology,1.659979233760977069144536543
102,performance,safety,1.791297935103244837758112094
103,performance,technology,1.727685793129698353791987820
104,safety,technology,2.453293010752688172043010753
